#RAT ;#SONO;INICIO ;FIM;DURAÇÃO;EMG -8;EMG -6;EMG -4;EMG -2;EMG AP1;EMG AP2;REM -8;REM -6;REM -4;REM -2;REM AP1;REM AP2;NREM -8;NREM -6;NREM -4;NREM -2;NREM AP1;NREM AP2
R12;REM;3342.1;3346.1;4.00;0.0178;0.0144;0.0145;0.0173;0.0158;0.0298;0.4730;0.7935;10.147;0.4578;0.5646;13.504;37.537;46.768;18.387;19.150;0.2823;0.0000
R12;REM;21210.1;21214.1;4.00;0.0089;0.0050;0.0037;0.0040;0.0040;0.0179;0.1678;0.9613;10.223;0.5035;0.1755;0.4044;229.034;74.692;23.499;126.343;15.335;0.0000
R12;REM;14189.1;14193.2;4.10;0.0656;0.0068;0.0035;0.0016;0.0058;0.0097;0.8545;19.684;26.245;0.3586;13.199;0.9003;43.259;11.902;13.428;0.7706;35.324;0.0000
R12;REM;18332.1;18336.2;4.10;0.0013;0.0012;0.0012;0.0012;0.0014;0.1692;0.2670;0.7782;14.648;0.1907;0.1755;0.4807;99.258;37.155;36.469;131.683;0.3586;0.0000
R12;REM;8454.1;8458.3;4.20;0.0003;0.0003;0.0003;0.0003;0.0006;0.0238;0.2975;24.719;89.417;11.368;0.1068;0.0229;90.256;43.106;10.986;51.804;19.073;0.0000
R12;REM;4557.1;4561.4;4.30;0.0471;0.0011;0.0008;0.0016;0.0026;0.0198;41.885;112.305;0.8392;31.128;0.7553;31.433;28.458;0.4959;16.403;20.752;0.3586;0.0000
R12;REM;17950.1;17954.5;4.40;0.0021;0.0015;0.0014;0.0014;0.0014;0.0505;0.1678;0.8316;0.8392;0.4272;0.3738;0.7095;20.752;25.635;42.267;92.087;0.2289;0.0000
R12;REM;23203.1;23207.5;4.40;0.0061;0.0018;0.0007;0.0005;0.0006;0.0156;0.6714;0.6332;43.564;0.9384;0.0534;0.0153;73.395;19.150;16.174;57.449;0.2289;0.0000
R12;REM;28269.1;28273.9;4.80;0.0009;0.0009;0.0008;0.0009;0.0009;0.0159;0.5264;0.6790;14.343;0.2670;0.1373;0.3891;31.433;87.357;60.425;145.721;49.057;0.0000
R12;REM;9813.1;9818.1;5.00;0.0480;0.0077;0.0046;0.0014;0.0006;0.0088;26.703;12.665;14.954;0.2518;0.0305;17.776;45.090;19.379;29.373;85.373;82.245;63.477
R12;REM;19032.1;19037.1;5.00;0.0009;0.0009;0.0008;0.0008;0.0008;0.0045;20.142;20.752;31.815;0.6104;0.1297;18.845;271.225;40.817;37.079;117.340;0.1297;0.1526
R12;REM;8743.1;8748.2;5.10;0.0005;0.0003;0.0003;0.0003;0.0002;0.0035;10.834;65.765;85.068;40.054;0.6866;0.1221;109.100;46.158;16.556;28.687;55.923;18.311
R12;REM;4501.1;4506.6;5.50;0.0006;0.0006;0.0058;0.0057;0.0040;0.0077;0.3281;18.768;76.065;42.267;0.7172;25.406;45.471;28.000;0.6561;12.894;0.3967;0.3510
R12;REM;20939.1;20944.6;5.50;0.0000;0.0000;0.0000;0.0000;0.0000;0.0001;0.2823;12.207;17.014;0.5798;44.937;0.1678;262.527;40.665;42.572;115.814;19.455;0.1526
R12;REM;22941.1;22946.7;5.60;0.0008;0.0004;0.0003;0.0003;0.0002;0.0004;0.4425;14.038;30.518;0.7629;0.6332;0.0305;507.126;58.136;36.469;108.490;65.765;30.136
R12;REM;13674.1;13679.8;5.70;0.0008;0.0006;0.0005;0.0005;0.0005;0.0005;0.4807;12.054;43.945;11.444;0.0305;0.1144;138.245;47.607;14.191;189.438;0.1068;0.0687
R12;REM;1089.1;1094.8;5.70;0.0007;0.0006;0.0006;0.0006;0.0006;0.0005;0.7782;14.572;26.245;45.166;62.637;0.4959;57.678;19.455;21.667;20.828;12.589;432.358
R12;REM;28160.1;28166.0;5.90;0.0008;0.0009;0.0008;0.0008;0.0008;0.0014;0.4044;0.8316;10.452;0.1984;0.7172;0.0610;54.016;47.455;61.417;364.685;14.877;0.6409
R12;REM;4972.1;4978.1;6.00;0.0256;0.0157;0.0021;0.0019;0.0024;0.0041;10.071;22.354;13.809;13.351;0.0992;25.787;21.439;20.447;15.182;17.471;22.430;0.5417
R12;REM;13389.1;13395.1;6.00;0.0011;0.0011;0.0017;0.0019;0.0017;0.0019;0.3662;12.207;39.139;0.5264;0.1221;0.5188;216.293;18.082;16.479;57.831;165.482;20.828
R12;REM;7304.1;7310.4;6.30;0.0011;0.0006;0.0006;0.0005;0.0004;0.0005;12.665;42.953;31.357;27.924;14.267;0.5646;317.688;66.223;55.389;137.024;101.929;30.136
R12;REM;1522.1;1528.4;6.30;0.0009;0.0009;0.0009;0.0009;0.0010;0.0012;0.4578;28.000;116.730;12.131;0.9308;17.929;144.043;49.362;10.300;178.375;47.760;13.275
R12;REM;17985.1;17991.4;6.30;0.0006;0.0007;0.0006;0.0006;0.0007;0.0010;0.4349;0.7248;11.368;0.2213;0.1450;0.0610;75.684;55.923;57.373;195.541;408.096;44.479
